candidate_group,covered_gap_ids,spatial_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s
1,"[11, 12, 13]","[7, 9, 11, 12, 13, 15]","Q23-006,Q23-025",5491.586089499344,6420.835438328151,4987.597052706543,109.2046626,23.0236733,409.2453918457031,459.2453918457031,50.0,0.45745302969727986,85.70459282196,6742.453257774761,293.9890367928013,321.61781944660993
1,"[11, 12, 13]","[7, 9, 11, 12, 13, 15]","Q23-006,Q23-025",5491.586089499344,6420.835438328151,4979.843193841965,109.2064541,23.0244748,367.6875305175781,517.6875305175781,150.0,0.45826850132187,85.67910933369156,6755.077294861995,301.7428956573787,334.24185653384353
1,"[11, 12, 13]","[7, 9, 11, 12, 13, 15]","Q23-006,Q23-025",5491.586089499344,6420.835438328151,4976.217524559583,109.207957,23.0253628,299.08355712890625,549.0835571289062,250.0,0.458361697563067,85.67619695115415,6761.319299695321,305.36856493976086,340.4838613671697
1,"[11, 12, 13]","[7, 9, 11, 12, 13, 15]","Q23-006,Q23-025",5491.586089499344,6420.835438328151,4977.233960135083,109.2059573,23.0250035,357.976806640625,507.976806640625,150.0,0.4606231438571396,85.60552675446439,6756.87730157913,304.3521293642606,336.0418632509793
1,"[5, 6, 7]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-011,Q23-019",2382.7668062278276,3648.011464632965,1844.362096231502,109.2077265,23.0267207,360.7129211425781,610.7129211425781,250.0,0.571380392917108,82.14436272134039,4016.6672513911717,328.4047099963256,368.6557867582071
1,"[5, 6, 7]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-011,Q23-019",2382.7668062278276,3648.011464632965,1833.523910570449,109.2064541,23.0244748,367.6875305175781,667.6875305175781,300.0,0.5742703247919523,82.0540523502515,4032.2533211668083,339.24289565737865,384.24185653384353
1,"[1, 2, 3]","[1, 2, 3, 8, 10, 17, 18]","Q23-004,Q23-017,Q23-021",711.6799164156444,1676.219986501386,15.515590210393157,109.2775483,23.0273588,380.7744445800781,680.7744445800781,300.0,0.5753281311509528,82.02099590153273,2208.473849754977,486.1643262052512,532.253863253591
1,"[5, 6, 7]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-011,Q23-019",2382.7668062278276,3648.011464632965,1831.8620962315022,109.2077265,23.0267207,360.7129211425781,660.7129211425781,300.0,0.5758259229132499,82.00543990896094,4033.3339180578387,340.90470999632555,385.32245342487374
1,"[1, 2, 3]","[1, 2, 3, 8, 17, 18]","Q23-004,Q23-017,Q23-021",711.6799164156444,1676.219986501386,19.343137925390067,109.2813839,23.0210882,378.3836364746094,628.3836364746094,250.0,0.5765926315596732,81.9814802637602,2200.2804013645246,482.3367784902543,524.0604148631385
1,"[1, 2, 3]","[1, 2, 3, 8, 10, 17, 18]","Q23-004,Q23-017,Q23-021",711.6799164156444,1676.219986501386,9.147722407956053,109.2781129,23.0274949,390.51226806640625,690.5122680664062,300.0,0.5787069400571113,81.91540812321527,2215.6532028479414,492.5321940076883,539.4332163465555
1,"[12, 13, 14]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-013,Q23-025",5491.5869501896605,6567.351276109428,4825.717718604967,109.2028191,23.0394186,507.341552734375,757.341552734375,250.0,0.584536279949482,81.73324125157869,7075.690637088653,455.8692315846937,508.3393609792249
1,"[12, 13, 14]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-013,Q23-025",5491.5869501896605,6567.351276109428,4823.82579541477,109.2023786,23.0394548,506.3517150878906,756.3517150878906,250.0,0.5858151006638905,81.69327810425342,7077.500073808309,457.7611547748905,510.14879769888137
1,"[12, 13, 14]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-013,Q23-025",5491.5869501896605,6567.351276109428,4819.366608528529,109.2025918,23.0397567,521.0740356445312,771.0740356445312,250.0,0.5876215142163621,81.63682768073869,7083.186120740937,462.22034166113207,515.8348446315097
1,"[12, 13, 14]","[2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17]","Q23-006,Q23-013,Q23-025",5491.5869501896605,6567.351276109428,4824.556323609653,109.2064541,23.0444748,398.6077880859375,698.6077880859375,300.0,0.5894373154661049,81.58008389168423,7071.957551696596,457.03062658000704,504.6062755871685
1,"[6, 7, 9]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-019,Q23-022",2758.2493042386855,4087.3751389959266,2219.84459424236,109.2077265,23.0267207,360.7129211425781,610.7129211425781,250.0,0.5908996412469175,81.53438621103383,4456.030925754134,328.4047099963256,368.6557867582071
