sortie,phase,start_s,end_s,start_longitude,start_latitude,end_longitude,end_latitude,start_altitude_m,end_altitude_m
Q23-024,leg2-cruise,9200.171767506627,9398.0298554334,109.2541424,23.0552989,109.2831357,23.054464,360.91961669921875,360.91961669921875
Q23-024,leg2-descent,9398.0298554334,9430.477702113089,109.2831357,23.054464,109.2831357,23.054464,360.91961669921875,279.8
Q23-024,S012-handoff,9430.477702113089,9610.477702113089,109.2831357,23.054464,109.2831357,23.054464,279.8,279.8
Q23-024,leg3-climb,9610.477702113089,9654.978033737438,109.2831357,23.054464,109.2831357,23.054464,279.8,413.3009948730469
Q23-024,leg3-cruise,9654.978033737438,10148.208004489928,109.2831357,23.054464,109.2308517,23.0085095,413.3009948730469,413.3009948730469
Q23-024,leg3-descent,10148.208004489928,10262.448402439148,109.2308517,23.0085095,109.2308517,23.0085095,413.3009948730469,127.7
Q23-025,leg1-climb,4615.73,4711.089135742187,109.2308517,23.0085095,109.2308517,23.0085095,127.7,366.09783935546875
Q23-025,leg1-cruise,4711.089135742187,4923.158022959246,109.2308517,23.0085095,109.1997836,23.007714,366.09783935546875,366.09783935546875
Q23-025,leg1-descent,4923.158022959246,4948.806942636981,109.1997836,23.007714,109.1997836,23.007714,366.09783935546875,314.8
Q23-025,S006-handoff,4948.806942636981,5272.806942636981,109.1997836,23.007714,109.1997836,23.007714,314.8,314.8
Q23-025,leg2-climb,5272.806942636981,5383.031473886981,109.1997836,23.007714,109.1997836,23.007714,314.8,590.361328125
Q23-025,leg2-cruise,5383.031473886981,5550.797698015178,109.1997836,23.007714,109.1928191,23.0294186,590.361328125,590.361328125
Q23-025,leg2-descent,5550.797698015178,5671.728362077678,109.1928191,23.0294186,109.1928191,23.0294186,590.361328125,348.5
Q23-025,S007-handoff,5671.728362077678,5959.728362077678,109.1928191,23.0294186,109.1928191,23.0294186,348.5,348.5
Q23-025,leg3-climb,5959.728362077678,6025.117632097209,109.1928191,23.0294186,109.1928191,23.0294186,348.5,511.9731750488281
Q23-025,leg3-cruise,6025.117632097209,6327.372825296373,109.1928191,23.0294186,109.2308517,23.0085095,511.9731750488281,511.9731750488281
Q23-025,leg3-descent,6327.372825296373,6519.509412820787,109.2308517,23.0085095,109.2308517,23.0085095,511.9731750488281,127.7
