运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,诊断说明
Q23-013,leg2-descent,6925.122151915072,7023.205884825228,直连,,
Q23-015,leg1-climb,6991.0,7046.887251790365,直连,,
Q23-015,leg1-cruise,7046.887251790365,7234.697366800472,直连,,
Q23-008,leg2-climb,7071.5328846906,7128.179273443856,中继,R3-005,
Q23-008,leg2-cruise,7128.179273443856,7277.1343203958095,中继,R3-005,
Q23-007,leg2-climb,7193.365429056213,7282.68708432965,中继,R3-004,
Q23-015,leg1-descent,7234.697366800472,7268.002068948909,直连,,
Q23-015,S011-handoff,7268.002068948909,7478.002068948909,直连,,
Q23-008,leg2-cruise,7277.1343203958095,7644.556769543962,直连,,
Q23-007,leg2-cruise,7282.68708432965,7509.904415102967,中继,R3-004,
Q23-015,leg2-climb,7478.002068948909,7505.755987405941,直连,,
Q23-015,leg2-cruise,7505.755987405941,7693.566102416048,直连,,
Q23-007,leg2-cruise,7509.904415102967,7766.758789020629,直连,,
Q23-008,leg2-descent,7644.556769543962,7752.772436047869,直连,,
Q23-015,leg2-descent,7693.566102416048,7760.6308045644855,直连,,
Q23-007,leg2-descent,7766.758789020629,7983.810858112425,直连,,
Q23-020,leg1-climb,8378.357,8468.850941243489,直连,,
Q23-005,leg1-climb,8463.811,8536.312701660156,直连,,
Q23-020,leg1-cruise,8468.850941243489,8794.069093676466,直连,,
Q23-024,leg1-climb,8484.552,8539.728304117838,直连,,
Q23-009,leg1-climb,8527.54,8635.755666503906,直连,,
Q23-005,leg1-cruise,8536.312701660156,8794.069023629234,直连,,
Q23-024,leg1-cruise,8539.728304117838,8794.069654927378,直连,,
Q23-009,leg1-cruise,8635.755666503906,9003.17811565206,直连,,
Q23-005,leg1-cruise,8794.069023629234,9031.997936216074,中继,R3-006,
Q23-020,leg1-cruise,8794.069093676466,8872.909857902641,中继,R3-006,
Q23-024,leg1-cruise,8794.069654927378,8921.240330332148,中继,R3-006,
Q23-020,leg1-descent,8872.909857902641,8891.902587394829,中继,R3-006,
Q23-020,S013-handoff,8891.902587394829,9071.902587394829,中继,R3-006,
Q23-024,leg1-descent,8921.240330332148,8946.531895273554,中继,R3-006,
Q23-024,S009-handoff,8946.531895273554,9156.531895273554,中继,R3-006,
Q23-009,leg1-cruise,9003.17811565206,9152.133162604012,中继,R3-007,
Q23-005,leg1-descent,9031.997936216074,9076.72506329127,中继,R3-006,
Q23-020,leg2-climb,9071.902587394829,9122.692711906548,中继,R3-006,
Q23-005,S002-handoff,9076.72506329127,9472.72506329127,中继,R3-006,
Q23-020,leg2-cruise,9122.692711906548,9237.97218797429,中继,R3-006,
Q23-009,leg1-descent,9152.133162604012,9237.102745733895,中继,R3-007,
Q23-024,leg2-climb,9156.531895273554,9200.171767506627,中继,R3-006,
Q23-024,leg2-cruise,9200.171767506627,9398.0298554334,中继,R3-006,
Q23-009,S004-handoff,9237.102745733895,9561.102745733895,中继,R3-007,
Q23-020,leg2-descent,9237.97218797429,9298.960337388353,中继,R3-006,
Q23-020,S010-handoff,9298.960337388353,9478.960337388353,中继,R3-006,
Q23-024,leg2-descent,9398.0298554334,9430.477702113089,中继,R3-006,
Q23-024,S012-handoff,9430.477702113089,9610.477702113089,中继,R3-006,
Q23-005,leg2-climb,9472.72506329127,9508.506764951426,中继,R3-006,
Q23-020,leg3-climb,9478.960337388353,9506.97251593653,中继,R3-006,
Q23-020,leg3-cruise,9506.97251593653,9576.658097835169,中继,R3-006,
Q23-005,leg2-cruise,9508.506764951426,9746.435677538266,中继,R3-006,
Q23-009,leg2-climb,9561.102745733895,9629.0784122378,中继,R3-007,
Q23-020,leg3-cruise,9576.658097835169,9905.17584107161,直连,,
Q23-024,leg3-climb,9610.477702113089,9654.978033737438,中继,R3-006,
Q23-009,leg2-cruise,9629.0784122378,9778.033459189754,中继,R3-007,
Q23-024,leg3-cruise,9654.978033737438,9891.728419698633,中继,R3-006,
Q23-005,leg2-cruise,9746.435677538266,10004.191999507344,直连,,
Q23-009,leg2-cruise,9778.033459189754,10145.455908337906,直连,,
Q23-024,leg3-cruise,9891.728419698633,10148.208004489928,直连,,
Q23-020,leg3-descent,9905.17584107161,10028.350455329422,直连,,
Q23-005,leg2-descent,10004.191999507344,10094.819126582539,直连,,
Q23-009,leg2-descent,10145.455908337906,10280.725491467789,直连,,
Q23-024,leg3-descent,10148.208004489928,10262.448402439148,直连,,
