运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
Q23-004,leg1-cruise,3042.8025682145553,3050.0042246522416,直连,,108.20121500891058,122.0
Q23-020,leg1-cruise,3042.9393460032475,3050.1546838007325,直连,,103.2855549915444,122.0
Q23-001,leg1-cruise,3047.2861769085266,3054.5262373655282,直连,,102.20999714253864,122.0
Q23-004,leg1-cruise,3050.0042246522416,3057.2058810899275,直连,,108.4859824664451,122.0
Q23-020,leg1-cruise,3050.1546838007325,3057.370021598217,直连,,103.78211364383893,122.0
Q23-001,leg1-cruise,3054.5262373655282,3061.76629782253,直连,,102.9004362684051,122.0
Q23-004,leg1-cruise,3057.2058810899275,3064.407537527614,直连,,108.7619651401079,122.0
Q23-020,leg1-cruise,3057.370021598217,3064.5853593957017,直连,,104.25251541915881,122.0
Q23-023,leg1-climb,3058.717799682617,3083.238732910156,直连,,85.83521409748177,122.0
Q23-001,leg1-cruise,3061.76629782253,3069.006358279531,直连,,103.54214952944815,122.0
Q23-005,S013-handoff,3063.119804062999,3093.119804062999,中继,R3-003,123.77442449618124,122.0
Q23-004,leg1-cruise,3064.407537527614,3071.6091939653,直连,,109.02967361492847,122.0
Q23-020,leg1-cruise,3064.5853593957017,3071.800697193187,直连,,104.69931164041769,122.0
Q23-007,leg1-climb,3067.977297634549,3094.465946451823,直连,,85.09500800004452,122.0
Q23-001,leg1-cruise,3069.006358279531,3076.2464187365326,直连,,104.14129502797165,122.0
Q23-004,leg1-cruise,3071.6091939653,3078.8108504029865,直连,,109.28957657931511,122.0
Q23-020,leg1-cruise,3071.800697193187,3079.016034990672,直连,,105.1247070363675,122.0
Q23-001,leg1-cruise,3076.2464187365326,3083.4864791935343,直连,,104.70298216653238,122.0
Q23-004,leg1-cruise,3078.8108504029865,3086.012506840673,直连,,109.54210512442457,122.0
Q23-020,leg1-cruise,3079.016034990672,3086.2313727881565,直连,,105.53061808670408,122.0
Q23-023,leg1-cruise,3083.238732910156,3090.365239648426,直连,,87.3439354487481,122.0
Q23-001,leg1-cruise,3083.4864791935343,3090.726539650536,直连,,105.23148496094174,122.0
Q23-004,leg1-cruise,3086.012506840673,3093.2141632783587,直连,,109.7876565301378,122.0
Q23-020,leg1-cruise,3086.2313727881565,3093.446710585641,直连,,105.91871997291597,122.0
Q23-023,leg1-cruise,3090.365239648426,3097.491746386696,直连,,88.8869148528952,122.0
Q23-001,leg1-cruise,3090.726539650536,3097.9666001075375,直连,,115.73040735774256,122.0
Q23-005,S013-handoff,3093.119804062999,3123.119804062999,中继,R3-003,123.77442449618124,122.0
Q23-004,leg1-cruise,3093.2141632783587,3100.415819716045,直连,,110.02659760514132,122.0
Q23-020,leg1-cruise,3093.446710585641,3100.662048383126,直连,,106.29048460135445,122.0
Q23-007,leg1-cruise,3094.465946451823,3101.829449480193,直连,,87.01337951090622,122.0
Q23-023,leg1-cruise,3097.491746386696,3104.618253124966,直连,,90.92282176200102,122.0
Q23-001,leg1-cruise,3097.9666001075375,3105.2066605645387,直连,,116.20281165311438,122.0
Q23-004,leg1-cruise,3100.415819716045,3107.6174761537313,直连,,120.25926763929851,122.0
Q23-020,leg1-cruise,3100.662048383126,3107.877386180611,直连,,106.64721159569606,122.0
Q23-007,leg1-cruise,3101.829449480193,3109.1929525085634,直连,,88.20104013014753,122.0
Q23-023,leg1-cruise,3104.618253124966,3111.744759863236,直连,,92.85784233607572,122.0
Q23-001,leg1-cruise,3105.2066605645387,3112.4467210215403,直连,,116.65131878546691,122.0
