运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
P00020,leg1-cruise,591.0769459366334,596.0092456441582,直连,
P00107,leg1-cruise,591.2765275589679,596.2040753231039,直连,
P00024,leg1-cruise,593.4961300819457,598.3708301669632,直连,
P00137,leg1-cruise,594.4619763766917,604.2806024224894,直连,
P00146,leg1-cruise,594.4619763766917,604.2806024224894,直连,
P00011,leg1-cruise,594.6381254891929,599.4578729259442,直连,
P00057,leg1-cruise,595.3889234559297,600.2185570320428,直连,
P00020,leg1-cruise,596.0092456441582,600.9415453516832,直连,
P00107,leg1-cruise,596.2040753231039,601.1316230872399,直连,
P00035,leg1-cruise,598.1426440429688,602.9067128432,直连,
P00024,leg1-cruise,598.3708301669632,603.2455302519807,直连,
P00011,leg1-cruise,599.4578729259442,604.2776203626956,直连,
P00057,leg1-cruise,600.2185570320428,605.0481906081559,直连,
P00020,leg1-cruise,600.9415453516832,605.8738450592082,直连,
P00107,leg1-cruise,601.1316230872399,606.0591708513758,直连,
P00035,leg1-cruise,602.9067128432,607.6707816434312,直连,
P00024,leg1-cruise,603.2455302519807,608.1202303369981,直连,
P00011,leg1-cruise,604.2776203626956,609.097367799447,直连,
P00137,leg1-cruise,604.2806024224894,614.0992284682873,直连,
P00146,leg1-cruise,604.2806024224894,614.0992284682873,直连,
P00057,leg1-cruise,605.0481906081559,609.877824184269,直连,
P00020,leg1-cruise,605.8738450592082,610.806144766733,直连,
P00107,leg1-cruise,606.0591708513758,610.9867186155118,直连,
P00035,leg1-cruise,607.6707816434312,612.4348504436623,直连,
P00024,leg1-cruise,608.1202303369981,612.9949304220156,直连,
P00011,leg1-cruise,609.097367799447,613.9171152361984,直连,
P00057,leg1-cruise,609.877824184269,614.707457760382,直连,
P00020,leg1-cruise,610.806144766733,615.7384444742579,直连,
P00107,leg1-cruise,610.9867186155118,615.9142663796479,直连,
P00035,leg1-cruise,612.4348504436623,617.1989192438936,直连,
P00024,leg1-cruise,612.9949304220156,617.869630507033,直连,
P00011,leg1-cruise,613.9171152361984,618.7368626729497,直连,
P00137,leg1-cruise,614.0992284682873,623.917854514085,直连,
P00146,leg1-cruise,614.0992284682873,623.917854514085,直连,
P00057,leg1-cruise,614.707457760382,619.5370913364951,直连,
P00020,leg1-cruise,615.7384444742579,620.6707441817829,直连,
P00107,leg1-cruise,615.9142663796479,620.8418141437838,直连,
P00035,leg1-cruise,617.1989192438936,621.9629880441248,直连,
P00024,leg1-cruise,617.869630507033,622.7443305920505,直连,
P00011,leg1-cruise,618.7368626729497,623.5566101097011,直连,
P00057,leg1-cruise,619.5370913364951,624.3667249126082,直连,
P00020,leg1-cruise,620.6707441817829,625.6030438893079,直连,
P00107,leg1-cruise,620.8418141437838,625.7693619079198,直连,
P00035,leg1-cruise,621.9629880441248,626.7270568443561,直连,
P00024,leg1-cruise,622.7443305920505,627.6190306770679,直连,
P00011,leg1-cruise,623.5566101097011,628.3763575464525,直连,
P00137,leg1-cruise,623.917854514085,633.7364805598828,直连,
P00146,leg1-cruise,623.917854514085,633.7364805598828,直连,
P00057,leg1-cruise,624.3667249126082,629.1963584887213,直连,
P00020,leg1-cruise,625.6030438893079,630.5353435968327,直连,
P00107,leg1-cruise,625.7693619079198,630.6969096720559,直连,
P00035,leg1-cruise,626.7270568443561,631.4911256445873,直连,
P00024,leg1-cruise,627.6190306770679,632.4937307620854,直连,
P00011,leg1-cruise,628.3763575464525,633.1961049832038,直连,
P00057,leg1-cruise,629.1963584887213,634.0259920648344,直连,
P00020,leg1-cruise,630.5353435968327,635.4676433043576,直连,
