covered_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s
"[3, 10, 19, 21, 23]","Q2-017,Q2-019,Q2-020,Q2-030,Q2-031",1202.4283044869223,8988.86208053246,705.2928164372165,109.2028191,23.0194186,395.601806640625,695.601806640625,300.0,2.5492912951633215,20.3346470261462,9302.489385802219,287.13548804970577,313.62730526975787
"[12, 13, 17, 18]","Q2-011,Q2-012,Q2-013,Q2-014",4415.122514073359,6373.201701800115,3978.1112544147136,109.2493702,23.0235756,311.2042541503906,561.2042541503906,250.0,0.735968797092669,77.0009750908541,6619.671649304626,227.01125965864514,246.46994750451103
"[12, 14, 17, 18]","Q2-012,Q2-013,Q2-014,Q2-021",4415.122514073359,6373.201701800115,3929.896639133983,109.215203,23.0358064,200.5194854736328,500.5194854736328,300.0,0.7701547049250594,75.9326654710919,6663.906073036691,275.2258749393753,290.7043712365758
"[7, 8, 9, 13]","Q2-008,Q2-009,Q2-011,Q2-024",2996.903230692702,4769.589761775418,2395.785641432763,109.2713839,23.0310882,321.70806884765625,471.70806884765625,150.0,0.7814774981615302,75.57882818245218,5183.330836346229,391.1175892599389,413.7410745708113
"[15, 16, 17, 18]","Q2-013,Q2-014,Q2-026,Q2-028",4933.85606506257,6373.201701800115,4136.433983999485,109.2131884,23.0777811,258.8279724121094,558.8279724121094,300.0,0.8072793674207865,74.77251976810042,6980.612021897217,587.4220810630856,607.4103200971024
"[12, 13, 14, 17]","Q2-011,Q2-012,Q2-013,Q2-021",4415.122514073359,6260.292894909243,3803.6935906471713,109.2746285,23.0273251,363.2660217285156,663.2660217285156,300.0,0.809104175841592,74.71549450495026,6685.6503649866345,401.4289234261873,425.3574700773917
"[14, 15, 16, 17]","Q2-013,Q2-021,Q2-026,Q2-028",4503.3547463191535,6260.292894909243,3837.6630558969623,109.2653366,23.0531517,272.38226318359375,522.3822631835938,250.0,0.8230801237310351,74.27874613340515,6732.536850244357,455.6916904221913,472.2439553351145
"[14, 15, 16, 18]","Q2-014,Q2-021,Q2-026,Q2-028",4503.3547463191535,6373.201701800115,3818.507172646619,109.2102907,23.0599272,283.8806457519531,583.8806457519531,300.0,0.8644251500956752,72.98671405951015,6870.948624430983,474.84757367253457,497.7469226308679
"[16, 17, 18, 20]","Q2-013,Q2-014,Q2-028,Q2-029",5419.734787228,7422.769452303852,4737.521157201801,109.2453366,23.0631517,224.78103637695312,474.7810363769531,250.0,0.9072414589542872,71.64870440767852,7913.4071047502985,472.2136300261993,490.63765244644674
"[10, 12, 17, 18]","Q2-012,Q2-013,Q2-014,Q2-017",3691.9542689266414,6373.201701800115,3256.6101897778153,109.2362407,23.0328526,207.9092559814453,507.9092559814453,300.0,0.9607421662369215,69.97680730509622,6612.272785699511,225.3440791488262,239.0710838993959
"[16, 17, 18, 21]","Q2-013,Q2-014,Q2-020,Q2-028",5419.734787228,7844.322975131394,4803.865555643306,109.2028191,23.0394186,507.341552734375,657.341552734375,150.0,0.9788947844599113,69.40953798562776,8285.995669443952,405.8692315846937,441.6726943125583
"[8, 9, 13, 14]","Q2-009,Q2-011,Q2-021,Q2-024",3023.126631185436,5420.472672437543,2340.650229904172,109.2813839,23.0310882,419.8471374511719,569.8471374511719,150.0,1.0182751882457357,68.17890036732076,5922.692076038144,472.4764012812639,502.2194036005999
"[7, 8, 9, 14]","Q2-008,Q2-009,Q2-021,Q2-024",2996.903230692702,5420.472672437543,2317.812498269045,109.2731357,23.044464,299.11383056640625,449.11383056640625,150.0,1.0277772362396487,67.88196136751098,5915.008138544468,469.0907324236567,494.5354661069249
"[15, 16, 17, 20]","Q2-013,Q2-026,Q2-028,Q2-029",4933.85606506257,7422.769452303852,4262.556634723608,109.2485519,23.0603271,265.1324462890625,565.1324462890625,300.0,1.047776551559449,67.25698276376721,7903.616648756096,461.29943033896257,480.84719645224385
"[15, 16, 18, 20]","Q2-014,Q2-026,Q2-028,Q2-029",4933.85606506257,7422.769452303852,4227.4480223278515,109.2231884,23.0677811,251.5516357421875,501.5516357421875,250.0,1.0715425557606926,66.51429513247835,7937.153600792151,496.4080427347188,514.3841484882995
"[18, 19, 21, 23]","Q2-014,Q2-020,Q2-030,Q2-031",5949.011047192959,8988.86208053246,5463.045691858654,109.2070368,23.0258342,353.11492919921875,653.1149291992188,300.0,1.094818659264143,65.78691689799554,9287.778679966701,275.9653553343048,298.91659943423963
"[8, 10, 12, 17]","Q2-009,Q2-012,Q2-013,Q2-017",3023.126631185436,6260.292894909243,2601.073006365714,109.215203,23.0258064,249.0012664794922,549.0012664794922,300.0,1.1209770039486155,64.96946862660576,6487.412906651166,212.0536248197222,227.1200117419227
"[7, 8, 12, 17]","Q2-008,Q2-009,Q2-012,Q2-013",2996.903230692702,6260.292894909243,2574.8496058729797,109.215203,23.0258064,249.0012664794922,399.0012664794922,150.0,1.1289897096547288,64.71907157328974,6487.412906651166,212.0536248197222,227.1200117419227
"[17, 19, 21, 23]","Q2-013,Q2-020,Q2-030,Q2-031",5815.918153727534,8988.86208053246,5329.952798393229,109.2070368,23.0258342,353.11492919921875,603.1149291992188,250.0,1.135485932267467,64.51606461664166,9287.778679966701,275.9653553343048,298.91659943423963
"[9, 12, 13, 17]","Q2-011,Q2-012,Q2-013,Q2-024",3056.355300486866,6260.292894909243,2568.3379374318984,109.2604104,23.0160347,298.23980712890625,598.2398071289062,300.0,1.1462928993593486,64.17834689502035,6561.2312871186705,278.0173630549675,300.93839220942715
"[8, 12, 13, 17]","Q2-009,Q2-011,Q2-012,Q2-013",3023.126631185436,6260.292894909243,2545.593452108124,109.2595646,23.007845,363.9188232421875,513.9188232421875,150.0,1.1489571591197132,64.09508877750896,6551.677642590071,267.53317907731224,291.3847476808279
"[8, 12, 17, 18]","Q2-009,Q2-012,Q2-013,Q2-014",3023.126631185436,6373.201701800115,2598.886954514763,109.2374879,23.0319305,192.82676696777344,342.82676696777344,150.0,1.1598153663726696,63.755769800854075,6599.045757234623,214.2396766706729,225.84405543450754
"[14, 17, 18, 20]","Q2-013,Q2-014,Q2-021,Q2-029",4503.3547463191535,7422.769452303852,3859.8658172838677,109.2361751,23.0589327,309.4656982421875,609.4656982421875,300.0,1.16174960418199,63.69532486931282,7875.572189525987,433.488929035286,452.80273722213497
"[12, 17, 18, 21]","Q2-012,Q2-013,Q2-014,Q2-020",4415.122514073359,7844.322975131394,3957.206958936647,109.2133709,23.0277561,306.1321716308594,606.1321716308594,300.0,1.1978196368850016,62.5681363473437,8112.890478306843,247.91555513671165,268.5675031754486
"[8, 9, 12, 17]","Q2-009,Q2-012,Q2-013,Q2-024",3023.126631185436,6260.292894909243,2463.333625125041,109.2559609,23.0422282,246.92222595214844,546.9222259521484,300.0,1.2085327546970075,62.233351415718516,6625.675282886956,349.79300606039476,365.3823879777125
"[12, 14, 17, 20]","Q2-012,Q2-013,Q2-021,Q2-029",4415.122514073359,7422.769452303852,3734.172742036079,109.2465448,23.0624343,254.78555297851562,404.7855529785156,150.0,1.2128761334304474,62.097620830298524,7912.758402299302,470.9497720372797,489.98894999545024
"[9, 12, 14, 17]","Q2-012,Q2-013,Q2-021,Q2-024",3056.355300486866,6260.292894909243,2437.4443429911958,109.2641424,23.0452989,286.486328125,586.486328125,300.0,1.234100247656817,61.434367260724464,6687.2046850261695,408.9109574956701,426.9117901169266
"[9, 12, 17, 18]","Q2-012,Q2-013,Q2-014,Q2-024",3056.355300486866,6373.201701800115,2491.6635402689144,109.2562407,23.0428526,262.8716125488281,562.8716125488281,300.0,1.236009223005554,61.37471178107644,6743.482843935384,354.6917602179515,370.28114213526925
"[14, 17, 18, 21]","Q2-013,Q2-014,Q2-020,Q2-021",4503.3547463191535,7844.322975131394,3944.8422379203284,109.215203,23.0458064,281.1133117675781,581.1133117675781,300.0,1.2379120564327637,61.31524823647614,8210.21349561518,348.5125083988248,365.8905204837858
"[1, 7, 8, 9]","Q2-008,Q2-009,Q2-010,Q2-024",803.9626477115796,3924.7446331882643,116.56328297002926,109.2813839,23.0310882,419.8471374511719,469.8471374511719,50.0,1.2406381709960914,61.230057156372155,4430.656259384079,477.39936474155036,505.91162619581473
"[8, 12, 14, 17]","Q2-009,Q2-012,Q2-013,Q2-021",3023.126631185436,6260.292894909243,2399.965976841963,109.2559609,23.0522282,249.2997283935547,499.2997283935547,250.0,1.2490687746635267,60.96660079176479,6688.982755592234,413.160654343473,428.68986068299125
"[12, 13, 17, 22]","Q2-011,Q2-012,Q2-013,Q2-023",4415.122514073359,8000.946961477172,3885.7483411448256,109.2660168,23.0094009,304.2348327636719,554.2348327636719,250.0,1.2864062975771828,59.79980320071303,8346.76872402566,319.3741729285329,345.8217625484873
"[7, 8, 14, 18]","Q2-008,Q2-009,Q2-014,Q2-021",2996.903230692702,6373.201701800115,2369.3382810806525,109.2287255,23.0581964,188.29193115234375,438.29193115234375,250.0,1.2937260565916537,59.57106073151082,6807.08338420025,417.5649496120495,433.88168240013545
"[13, 14, 17, 22]","Q2-011,Q2-013,Q2-021,Q2-023",4421.775415600074,8000.946961477172,3769.9893198916707,109.2795646,23.027845,356.48876953125,656.48876953125,300.0,1.362440796139631,57.42372512063654,8469.345741816924,441.78609570840297,468.39878033975066
"[1, 7, 8, 13]","Q2-008,Q2-009,Q2-010,Q2-011",803.9626477115796,4769.589761775418,313.09465558165226,109.2604104,23.0060347,334.5596618652344,484.5596618652344,150.0,1.3781381894317524,56.93318158025774,5076.573185118725,280.86799212992736,306.98342334330624
"[5, 7, 8, 18]","Q2-008,Q2-009,Q2-014,Q2-016",2421.467771120079,6373.201701800115,1916.0849502782078,109.2302907,23.0399272,219.28802490234375,269.28802490234375,50.0,1.3862939264961651,56.67831479699485,6680.383524717182,295.38282084187114,307.1818229170664
"[11, 14, 18, 20]","Q2-014,Q2-021,Q2-027,Q2-029",3740.6617225335362,7422.769452303852,3054.824661346962,109.2365448,23.0624343,328.5135803222656,378.5135803222656,50.0,1.416657828159411,55.729442870018396,7919.507645183949,475.83706118657443,496.73819288009656
"[10, 12, 17, 21]","Q2-012,Q2-013,Q2-017,Q2-020",3691.9542689266414,7844.322975131394,3205.9889135923368,109.2070368,23.0258342,353.11492919921875,503.11492919921875,150.0,1.4347546148618582,55.16391828556693,8143.239574565633,275.9653553343048,298.91659943423963
"[5, 12, 17, 18]","Q2-012,Q2-013,Q2-014,Q2-016",2421.467771120079,6373.201701800115,1817.5060803115382,109.2359609,23.0522282,257.671630859375,307.671630859375,50.0,1.4479070933774447,54.75290333195486,6782.161028513604,393.9616908085407,408.9593267134886
"[5, 15, 16, 18]","Q2-014,Q2-016,Q2-026,Q2-028",2421.467771120079,6373.201701800115,1722.2980607910756,109.2146115,23.0622001,242.55642700195312,392.5564270019531,150.0,1.507132394833529,52.902112661452215,6884.442781045947,489.16971032900324,511.2410792458327
"[7, 8, 11, 20]","Q2-008,Q2-009,Q2-027,Q2-029",2996.903230692702,7422.769452303852,2298.825264482245,109.2465448,23.0624343,254.78555297851562,304.7855529785156,50.0,1.650789548522022,48.41282660868681,7925.604547929185,488.07796621045674,502.83509562533305
"[8, 9, 11, 20]","Q2-009,Q2-024,Q2-027,Q2-029",3023.126631185436,7422.769452303852,2241.8551390741695,109.2877807,23.0497573,271.5475158691406,571.5475158691406,300.0,1.6966802807664032,46.978741226049905,8019.696691892332,571.2714921112665,596.92723958848
"[4, 12, 14, 17]","Q2-012,Q2-013,Q2-018,Q2-021",1598.3852900958318,6260.292894909243,947.5604276795359,109.2541424,23.0552989,189.4370880126953,239.4370880126953,50.0,1.6968821676049197,46.97243226234627,6710.429181326596,440.82486241629584,450.1362864173538
"[7, 8, 13, 22]","Q2-008,Q2-009,Q2-011,Q2-023",2996.903230692702,8000.946961477172,2467.529057764169,109.2660168,23.0094009,304.2348327636719,454.2348327636719,150.0,1.7197510786101615,46.25777879343246,8346.76872402566,319.3741729285329,345.8217625484873
"[8, 9, 13, 22]","Q2-009,Q2-011,Q2-023,Q2-024",3023.126631185436,8000.946961477172,2439.071841556823,109.2735966,23.0152097,335.4212341308594,585.4212341308594,250.0,1.7469961402691168,45.40637061659011,8401.06930786848,374.054789628613,400.1223463913083
"[4, 5, 14, 18]","Q2-014,Q2-016,Q2-018,Q2-021",1598.3852900958318,6373.201701800115,913.5377164232973,109.2102907,23.0599272,283.8806457519531,533.8806457519531,250.0,1.7520547061639125,45.248290432377736,6870.948624430983,474.84757367253457,497.7469226308679
"[9, 13, 14, 22]","Q2-011,Q2-021,Q2-023,Q2-024",3056.355300486866,8000.946961477172,2412.8087365351857,109.2813839,23.0210882,378.3836364746094,628.3836364746094,250.0,1.7753676375783356,44.519761325677024,8459.953756955545,433.54656395168007,459.0067954783728
"[10, 19, 21, 23]","Q2-017,Q2-020,Q2-030,Q2-031",3691.9542689266414,8988.86208053246,3194.8187808769358,109.2028191,23.0194186,395.601806640625,695.601806640625,300.0,1.7886028060289627,44.10616231159492,9302.489385802219,287.13548804970577,313.62730526975787
"[2, 10, 12, 17]","Q2-012,Q2-013,Q2-015,Q2-017",922.5291497834601,6260.292894909243,436.5637944491553,109.2070368,23.0258342,353.11492919921875,403.11492919921875,50.0,1.7969586545321734,43.84504204586959,6559.209494343482,275.9653553343048,298.91659943423963
"[7, 8, 9, 22]","Q2-008,Q2-009,Q2-023,Q2-024",2996.903230692702,8000.946961477172,2291.080225543124,109.2813839,23.0410882,329.4339904785156,629.4339904785156,300.0,1.833742029305388,42.69556158420662,8521.735040275838,495.82300514957797,520.7880787986666
"[6, 7, 8, 22]","Q2-008,Q2-009,Q2-022,Q2-023",2506.7850168453324,8000.946961477172,1866.2749429749308,109.2760616,22.9956811,418.70965576171875,668.7096557617188,250.0,1.9324833951018685,39.60989390306662,8467.354014107339,430.51007387040164,466.4070526301673
