sortie,phase,start_s,end_s,direct_available,reason,gap_id
Q2-019,S005-handoff,3315.2421182953976,3639.2421182953976,False,,7
Q2-003,leg2-cruise,3347.374498905996,3593.9894842822414,False,,5
Q2-004,leg2-cruise,3377.5750325000463,3557.938935645693,False,,6
Q2-004,leg2-cruise,3557.938935645693,3738.3028387913396,True,,
Q2-003,leg2-cruise,3593.9894842822414,3840.604469658487,True,,
Q2-019,leg2-climb,3639.2421182953976,3691.8064737641475,False,,7
Q2-019,leg2-cruise,3691.8064737641475,3868.5404781358166,False,,7
Q2-004,leg2-descent,3738.3028387913396,3924.0017938694646,True,,
Q2-021,leg1-climb,3754.522716105184,3827.0244177653403,True,,
Q2-021,leg1-cruise,3827.0244177653403,4074.867035043299,True,,
Q2-003,leg2-descent,3840.604469658487,3954.8448676077055,True,,
Q2-019,leg2-cruise,3868.5404781358166,4045.274482507486,True,,
Q2-019,leg2-descent,4045.274482507486,4144.629926843423,True,,
Q2-021,leg1-cruise,4074.867035043299,4322.709652321258,False,,8
Q2-009,leg1-climb,4284.0017938694655,4428.703173263997,True,,
Q2-010,leg1-climb,4314.844867607706,4405.024589694294,True,,
Q2-021,leg1-descent,4322.709652321258,4367.436779396453,False,,8
Q2-021,S002-handoff,4367.436779396453,4763.436779396453,False,,8
Q2-010,leg1-cruise,4405.024589694294,4663.213337744348,True,,
Q2-009,leg1-cruise,4428.703173263997,4670.739025609486,True,,
Q2-010,leg1-cruise,4663.213337744348,4921.402085794401,False,,9
Q2-022,leg1-climb,4668.21540845605,4763.574544198237,True,,
Q2-009,leg1-cruise,4670.739025609486,4912.774877954976,False,,10
Q2-021,leg2-climb,4763.436779396453,4799.21848105661,False,,8
Q2-022,leg1-cruise,4763.574544198237,4975.643431415297,True,,
Q2-021,leg2-cruise,4799.21848105661,5047.061098334569,False,,8
Q2-009,leg1-descent,4912.774877954976,5002.096533228413,False,,10
Q2-010,leg1-descent,4921.402085794401,4989.377752298306,False,,9
Q2-022,leg1-descent,4975.643431415297,5001.292351093031,True,,
Q2-010,S004-handoff,4989.377752298306,5199.377752298306,False,,9
Q2-022,S006-handoff,5001.292351093031,5325.292351093031,True,,
Q2-009,S003-handoff,5002.096533228413,5212.096533228413,False,,10
Q2-021,leg2-cruise,5047.061098334569,5294.903715612527,True,,
Q2-010,leg2-climb,5199.377752298306,5256.024141051562,False,,9
Q2-009,leg2-climb,5212.096533228413,5286.531245956277,False,,10
Q2-010,leg2-cruise,5256.024141051562,5514.212889101615,False,,9
Q2-009,leg2-cruise,5286.531245956277,5528.567098301766,False,,10
Q2-021,leg2-descent,5294.903715612527,5385.530842687722,True,,
Q2-022,leg2-climb,5325.292351093031,5435.516882343031,True,,
Q2-022,leg2-cruise,5435.516882343031,5603.283106471228,True,,
Q2-010,leg2-cruise,5514.212889101615,5772.401637151668,True,,
Q2-009,leg2-cruise,5528.567098301766,5770.602950647256,True,,
Q2-022,leg2-descent,5603.283106471228,5724.213770533728,False,,11
Q2-022,S007-handoff,5724.213770533728,6012.213770533728,False,,11
Q2-009,leg2-descent,5770.602950647256,5944.244605920693,True,,
Q2-010,leg2-descent,5772.401637151668,5880.617303655575,True,,
Q2-023,leg1-climb,5775.530842687722,5873.614575597878,True,,
Q2-023,leg1-cruise,5873.614575597878,6143.930348428808,True,,
Q2-022,leg3-climb,6012.213770533728,6073.545960475134,False,,11
Q2-022,leg3-cruise,6073.545960475134,6224.673557074716,False,,11
Q2-023,leg1-cruise,6143.930348428808,6414.24612125974,False,,12
