运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00137,leg1-cruise,506.0943419645117,515.9129680103094,直连,,104.11249625163042,122.0
P00146,leg1-cruise,506.0943419645117,515.9129680103094,直连,,104.11249625163042,122.0
P00057,leg1-climb,507.4860631740982,517.3392215086835,直连,,87.33606765300618,122.0
P00107,leg1-cruise,507.508215568656,512.435763332792,直连,,94.20293748149209,122.0
P00011,leg1-climb,508.6077407226563,518.143654296875,直连,,76.10138478115555,122.0
P00107,leg1-cruise,512.435763332792,517.363311096928,直连,,95.04954977403428,122.0
P00020,leg1-climb,513.1938493740796,522.7138825365145,直连,,85.81924271851256,122.0
P00024,leg1-climb,515.7336675008139,525.4054880777995,直连,,91.45828013518559,122.0
P00137,leg1-cruise,515.9129680103094,525.7315940561073,直连,,114.72960412724932,122.0
P00146,leg1-cruise,515.9129680103094,525.7315940561073,直连,,114.72960412724932,122.0
P00057,leg1-climb,517.3392215086835,527.1923798432689,直连,,88.3808765504114,122.0
P00107,leg1-cruise,517.363311096928,522.290858861064,直连,,95.83866416938305,122.0
P00011,leg1-climb,518.143654296875,527.6795678710937,直连,,78.87242282539997,122.0
P00107,leg1-cruise,522.290858861064,527.2184066251999,直连,,96.5744157655204,122.0
P00020,leg1-climb,522.7138825365145,532.2339156989494,直连,,87.01100199192072,122.0
P00024,leg1-climb,525.4054880777995,535.0773086547852,直连,,92.11113613912283,122.0
P00137,leg1-cruise,525.7315940561073,535.5502201019051,直连,,115.30596777067473,122.0
P00146,leg1-cruise,525.7315940561073,535.5502201019051,直连,,115.30596777067473,122.0
P00057,leg1-climb,527.1923798432689,537.0455381778543,直连,,89.31339396132414,122.0
P00107,leg1-cruise,527.2184066251999,532.1459543893359,直连,,97.26155495638271,122.0
P00011,leg1-climb,527.6795678710937,537.2154814453125,直连,,80.96997659851404,122.0
P00107,leg1-cruise,532.1459543893359,537.073502153472,直连,,97.90478988312863,122.0
P00020,leg1-climb,532.2339156989494,541.7539488613843,直连,,88.05879851973764,122.0
P00024,leg1-climb,535.0773086547852,544.7491292317709,直连,,92.7183334879742,122.0
P00137,leg1-cruise,535.5502201019051,545.3688461477028,直连,,115.84661294571715,122.0
P00146,leg1-cruise,535.5502201019051,545.3688461477028,直连,,115.84661294571715,122.0
P00057,leg1-climb,537.0455381778543,546.8986965124395,直连,,90.15543173420713,122.0
P00107,leg1-cruise,537.073502153472,542.0010499176079,直连,,98.50850300330902,122.0
P00011,leg1-climb,537.2154814453125,546.7513950195313,直连,,82.65823583839473,122.0
P00035,leg1-climb,540.0,549.6904406738281,直连,,57.99240565837262,122.0
P00020,leg1-cruise,541.7539488613843,546.6862485689091,直连,,88.62227218585926,122.0
P00107,leg1-cruise,542.0010499176079,546.9285976817439,直连,,99.0766507092505,122.0
P00024,leg1-cruise,544.7491292317709,549.6238293167884,直连,,93.0360365402118,122.0
P00137,leg1-cruise,545.3688461477028,555.1874721935006,直连,,116.35569290258537,122.0
P00146,leg1-cruise,545.3688461477028,555.1874721935006,直连,,116.35569290258537,122.0
P00020,leg1-cruise,546.6862485689091,551.6185482764341,直连,,89.23777313299067,122.0
P00011,leg1-climb,546.7513950195313,556.28730859375,直连,,84.07114615995937,122.0
P00057,leg1-climb,546.8986965124395,556.7518548470249,直连,,90.92300534208043,122.0
P00107,leg1-cruise,546.9285976817439,551.85614544588,直连,,99.61274984816187,122.0
P00024,leg1-cruise,549.6238293167884,554.4985294018059,直连,,93.26368717694945,122.0
P00035,leg1-climb,549.6904406738281,559.3808813476562,直连,,64.31881537331904,122.0
P00020,leg1-cruise,551.6185482764341,556.5508479839591,直连,,90.25620028335653,122.0
P00107,leg1-cruise,551.85614544588,556.7836932100159,直连,,100.11990309061416,122.0
P00024,leg1-cruise,554.4985294018059,559.3732294868233,直连,,93.68604193512624,122.0
P00137,leg1-cruise,555.1874721935006,565.0060982392984,直连,,116.83667862143926,122.0
P00146,leg1-cruise,555.1874721935006,565.0060982392984,直连,,116.83667862143926,122.0
P00011,leg1-climb,556.28730859375,565.8232221679688,直连,,85.2860554619344,122.0
P00020,leg1-cruise,556.5508479839591,561.483147691484,直连,,91.44067173795399,122.0
P00057,leg1-cruise,556.7518548470249,561.581488423138,直连,,91.31016795345545,122.0
P00107,leg1-cruise,556.7836932100159,561.7112409741519,直连,,100.60083937496775,122.0
P00024,leg1-cruise,559.3732294868233,564.2479295718408,直连,,94.25130741798029,122.0
P00035,leg1-climb,559.3808813476562,569.0713220214843,直连,,72.21730887279031,122.0
P00020,leg1-cruise,561.483147691484,566.4154473990088,直连,,92.6407245722975,122.0
P00057,leg1-cruise,561.581488423138,566.4111219992511,直连,,91.52335292907122,122.0
P00107,leg1-cruise,561.7112409741519,566.6387887382879,直连,,101.05795792359565,122.0
P00024,leg1-cruise,564.2479295718408,569.1226296568583,直连,,94.90607201217567,122.0
P00137,leg1-cruise,565.0060982392984,574.8247242850962,直连,,117.29250004795173,122.0
P00146,leg1-cruise,565.0060982392984,574.8247242850962,直连,,117.29250004795173,122.0
P00011,leg1-climb,565.8232221679688,575.3591357421875,直连,,86.35169831831641,122.0
P00057,leg1-cruise,566.4111219992511,571.2407555753641,直连,,91.92068356018447,122.0
P00020,leg1-cruise,566.4154473990088,571.3477471065338,直连,,93.7861297584424,122.0
P00107,leg1-cruise,566.6387887382879,571.5663365024238,直连,,101.49337052415162,122.0
