运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00071,leg1-cruise,585.0741345255336,589.9712794312945,直连,,103.72518331605228,122.0
P00024,leg1-cruise,588.0200121997437,592.827888085074,直连,,98.29377920519273,122.0
P00002,leg1-climb,588.4522033691406,598.1426440429688,直连,,81.13449505143436,122.0
P00107,leg1-cruise,588.7140629904951,593.650495910031,直连,,104.69866246440952,122.0
P00020,leg1-cruise,588.8463257748472,593.778625482372,直连,,103.80389712289337,122.0
P00011,leg1-cruise,589.6358674649756,594.3947780392383,直连,,90.47283578444828,122.0
P00071,leg1-cruise,589.9712794312945,594.8684243370556,直连,,104.04782847796707,122.0
P00032,leg1-cruise,590.0943419645117,599.9129680103094,直连,,104.11249625163042,122.0
P00024,leg1-cruise,592.827888085074,597.6357639704045,直连,,98.92339873631124,122.0
P00107,leg1-cruise,593.650495910031,598.586928829567,直连,,104.99191209107418,122.0
P00020,leg1-cruise,593.778625482372,598.710925189897,直连,,104.20582619572986,122.0
P00011,leg1-cruise,594.3947780392383,599.1536886135009,直连,,91.84064265172968,122.0
P00128,leg1-cruise,594.4619763766917,604.2806024224894,直连,,118.53223292042574,122.0
P00071,leg1-cruise,594.8684243370556,599.7655692428165,直连,,104.35929832937904,122.0
P00024,leg1-cruise,597.6357639704045,602.4436398557348,直连,,99.52452723421854,122.0
P00002,leg1-cruise,598.1426440429688,603.0938864553913,直连,,82.38247905914766,122.0
P00107,leg1-cruise,598.586928829567,603.5233617491028,直连,,105.27577542443356,122.0
P00020,leg1-cruise,598.710925189897,603.643224897422,直连,,104.59045076345461,122.0
P00011,leg1-cruise,599.1536886135009,603.9125991877636,直连,,93.10428707461443,122.0
P00071,leg1-cruise,599.7655692428165,604.6627141485774,直连,,104.66031563321467,122.0
P00032,leg1-cruise,599.9129680103094,609.7315940561073,直连,,114.72960412724932,122.0
P00024,leg1-cruise,602.4436398557348,607.2515157410651,直连,,100.09743666174593,122.0
P00002,leg1-cruise,603.0938864553913,608.0451288678138,直连,,84.54519313924203,122.0
P00107,leg1-cruise,603.5233617491028,608.4597946686388,直连,,105.55082307523244,122.0
P00020,leg1-cruise,603.643224897422,608.5755246049468,直连,,104.95916147279964,122.0
P00011,leg1-cruise,603.9125991877636,608.6715097620263,直连,,94.25356372149415,122.0
P00128,leg1-cruise,604.2806024224894,614.0992284682873,直连,,118.90912737422013,122.0
P00071,leg1-cruise,604.6627141485774,609.5598590543383,直连,,104.95153779067805,122.0
P00024,leg1-cruise,607.2515157410651,612.0593916263954,直连,,100.6431284605526,122.0
P00002,leg1-cruise,608.0451288678138,612.9963712802363,直连,,87.0603318578437,122.0
P00107,leg1-cruise,608.4597946686388,613.3962275881747,直连,,105.81757620377817,122.0
P00020,leg1-cruise,608.5755246049468,613.5078243124717,直连,,105.31319231417945,122.0
P00011,leg1-cruise,608.6715097620263,613.430420336289,直连,,95.29591616921616,122.0
P00071,leg1-cruise,609.5598590543383,614.4570039600992,直连,,115.23356414789244,122.0
P00032,leg1-cruise,609.7315940561073,619.5502201019051,直连,,115.30596777067473,122.0
P00024,leg1-cruise,612.0593916263954,616.8672675117257,直连,,101.16298251553938,122.0
P00002,leg1-cruise,612.9963712802363,617.9476136926588,直连,,89.25990152618334,122.0
P00107,leg1-cruise,613.3962275881747,618.3326605077107,直连,,106.07651194861403,122.0
P00011,leg1-cruise,613.430420336289,618.1893309105517,直连,,96.24364298895367,122.0
P00020,leg1-cruise,613.5078243124717,618.4401240199967,直连,,105.65364259351668,122.0
P00128,leg1-cruise,614.0992284682873,623.917854514085,直连,,119.27037606062905,122.0
P00071,leg1-cruise,614.4570039600992,619.3541488658602,直连,,115.50694236749945,122.0
P00024,leg1-cruise,616.8672675117257,621.675143397056,直连,,101.6585442251616,122.0
P00002,leg1-cruise,617.9476136926588,622.8988561050813,直连,,91.10636258657551,122.0
P00011,leg1-cruise,618.1893309105517,622.9482414848144,直连,,97.10923389004856,122.0
P00107,leg1-cruise,618.3326605077107,623.2690934272466,直连,,106.32806814861925,122.0
P00020,leg1-cruise,618.4401240199967,623.3724237275217,直连,,105.98149531973655,122.0
P00071,leg1-cruise,619.3541488658602,624.2512937716211,直连,,115.77217399317355,122.0
P00032,leg1-cruise,619.5502201019051,629.3688461477028,直连,,115.84661294571715,122.0
P00024,leg1-cruise,621.675143397056,626.4830192823863,直连,,102.13139814080355,122.0
P00002,leg1-cruise,622.8988561050813,627.8500985175039,直连,,92.66858435808112,122.0
P00011,leg1-cruise,622.9482414848144,627.7071520590771,直连,,97.90387595738662,122.0
P00107,leg1-cruise,623.2690934272466,628.2055263467824,直连,,106.57264746280946,122.0
P00020,leg1-cruise,623.3724237275217,628.3047234350465,直连,,106.29763265559704,122.0
P00128,leg1-cruise,623.917854514085,633.7364805598828,直连,,119.61722406001047,122.0
P00071,leg1-cruise,624.2512937716211,629.148438677382,直连,,116.02971931811507,122.0
P00024,leg1-cruise,626.4830192823863,631.2908951677167,直连,,102.58309528986273,122.0
P00011,leg1-cruise,627.7071520590771,632.4660626333398,直连,,98.6371377568471,122.0
P00002,leg1-cruise,627.8500985175039,632.8013409299264,直连,,94.01210638722301,122.0
P00107,leg1-cruise,628.2055263467824,633.1419592663183,直连,,106.81062097531547,122.0
P00020,leg1-cruise,628.3047234350465,633.2370231425714,直连,,106.60284895558364,122.0
P00071,leg1-cruise,629.148438677382,634.045583583143,直连,,116.28000165313927,122.0
P00032,leg1-cruise,629.3688461477028,639.1874721935006,直连,,116.35569290258537,122.0
P00024,leg1-cruise,631.2908951677167,636.098771053047,直连,,103.01511350475334,122.0
P00011,leg1-cruise,632.4660626333398,637.2249732076025,直连,,99.31706223626072,122.0
P00002,leg1-cruise,632.8013409299264,637.7525833423489,直连,,95.18623847034307,122.0
P00107,leg1-cruise,633.1419592663183,638.0783921858542,直连,,107.04233135896604,122.0
P00020,leg1-cruise,633.2370231425714,638.1693228500963,直连,,106.89786181441903,122.0
P00128,leg1-descent,633.7364805598828,642.642141570625,直连,,119.78436490661834,122.0
P00071,leg1-cruise,634.045583583143,638.9427284889039,直连,,116.5234110764218,122.0
P00024,leg1-cruise,636.098771053047,640.9066469383773,直连,,103.42883785126371,122.0
P00011,leg1-cruise,637.2249732076025,641.9838837818652,直连,,99.95037699733696,122.0
P00002,leg1-cruise,637.7525833423489,642.7038257547714,直连,,96.2267775375255,122.0
P00107,leg1-cruise,638.0783921858542,643.0148251053902,直连,,107.26809565938656,122.0
P00020,leg1-cruise,638.1693228500963,643.1016225576211,直连,,107.1833214690749,122.0
P00071,leg1-cruise,638.9427284889039,643.8398733946649,直连,,116.76030773516463,122.0
P00032,leg1-cruise,639.1874721935006,649.0060982392984,直连,,116.83667862143926,122.0
P00024,leg1-cruise,640.9066469383773,645.7145228237076,直连,,103.82555312992226,122.0
P00011,leg1-cruise,641.9838837818652,646.7427943561279,直连,,100.54271540022359,122.0
P00128,leg1-descent,642.642141570625,651.5478025813673,直连,,119.78224293556472,122.0
P00002,leg1-cruise,642.7038257547714,647.6550681671939,直连,,97.15988436647815,122.0
P00107,leg1-cruise,643.0148251053902,647.9512580249261,直连,,107.48820775183789,122.0
P00020,leg1-cruise,643.1016225576211,648.0339222651461,直连,,107.45981883273829,122.0
P00071,leg1-cruise,643.8398733946649,648.7370183004258,直连,,116.99102475930826,122.0
P00024,leg1-cruise,645.7145228237076,650.5223987090379,直连,,104.20644347181849,122.0
P00011,leg1-cruise,646.7427943561279,651.5017049303906,直连,,101.09881335814185,122.0
P00002,leg1-cruise,647.6550681671939,652.6063105796164,直连,,98.00501964555248,122.0
P00107,leg1-cruise,647.9512580249261,652.8876909444621,直连,,107.70294051506441,122.0
P00020,leg1-cruise,648.0339222651461,652.9662219726711,直连,,107.72789238733434,122.0
P00071,leg1-cruise,648.7370183004258,653.6341632061867,直连,,117.21587083876086,122.0
P00032,leg1-cruise,649.0060982392984,658.8247242850962,直连,,117.29250004795173,122.0
P00024,leg1-cruise,650.5223987090379,655.3302745943682,直连,,104.57259595051933,122.0
P00011,leg1-cruise,651.5017049303906,656.2606155046533,直连,,101.6226737755023,122.0
P00128,leg1-descent,651.5478025813673,660.4534635921094,直连,,119.78057850625036,122.0
P00002,leg1-cruise,652.6063105796164,657.557552992039,直连,,98.77695084719498,122.0
P00107,leg1-cruise,652.8876909444621,657.8241238639979,直连,,117.91254775969509,122.0
P00020,leg1-cruise,652.9662219726711,657.8985216801959,直连,,107.98803411993887,122.0
P00071,leg1-cruise,653.6341632061867,658.5313081119476,直连,,117.43513250810818,122.0
